name: 🇨🇿 Czechia-8006 | avg_speed: 32.701 MB/s | delay: 17 ms
name: 🏁 Relay-7977 | avg_speed: 0.000 MB/s | delay: 72 ms
name: 🇧🇬 Bulgaria-2929 | avg_speed: 1.955 MB/s | delay: 551 ms
name: 🏁 Relay-7868 | avg_speed: 0.000 MB/s | delay: 73 ms
name: 🏁 Relay-2525 | avg_speed: 0.000 MB/s | delay: 73 ms
name: 🏁 Relay-1950 | avg_speed: 0.000 MB/s | delay: 73 ms
name: 🏁 Relay-3088 | avg_speed: 0.000 MB/s | delay: 73 ms
name: 🏁 Relay-8654 | avg_speed: 0.000 MB/s | delay: 73 ms
name: 🏁 Relay-6358 | avg_speed: 0.000 MB/s | delay: 73 ms
name: 🏁 Relay-1997 | avg_speed: 0.000 MB/s | delay: 73 ms
name: 🏁 Relay-9970 | avg_speed: 0.000 MB/s | delay: 73 ms
name: 🏁 Relay-9076 | avg_speed: 0.000 MB/s | delay: 73 ms
name: 🏁 Relay-3090 | avg_speed: 0.000 MB/s | delay: 73 ms
name: 🏁 Relay-2956 | avg_speed: 0.000 MB/s | delay: 73 ms
name: 🏁 Relay-8682 | avg_speed: 0.000 MB/s | delay: 73 ms
name: 🏁 Relay-1885 | avg_speed: 0.000 MB/s | delay: 73 ms
name: 🏁 Relay-9454 | avg_speed: 0.000 MB/s | delay: 73 ms
name: 🏁 Relay-6504 | avg_speed: 0.000 MB/s | delay: 73 ms
name: 🏁 Relay-6864 | avg_speed: 0.000 MB/s | delay: 73 ms
name: 🇷🇴 Romania-9072 | avg_speed: 0.000 MB/s | delay: 73 ms
name: 🏁 Relay-3309 | avg_speed: 0.000 MB/s | delay: 73 ms
name: 🏁 Relay-9974 | avg_speed: 0.000 MB/s | delay: 73 ms
name: 🏁 Relay-3688 | avg_speed: 0.000 MB/s | delay: 73 ms
name: 🇺🇸 USA-1400 | avg_speed: 1.687 MB/s | delay: 486 ms
name: 🇬🇧 UK-1724 | avg_speed: 1.170 MB/s | delay: 360 ms
name: 🏁 Relay-6573 | avg_speed: 0.000 MB/s | delay: 74 ms
name: 🏁 Relay-2648 | avg_speed: 0.000 MB/s | delay: 74 ms
name: 🏁 Relay-6201 | avg_speed: 0.000 MB/s | delay: 74 ms
name: 🏁 Relay-3821 | avg_speed: 0.000 MB/s | delay: 74 ms
name: 🏁 Relay-8711 | avg_speed: 0.000 MB/s | delay: 74 ms
name: 🏁 Relay-1014 | avg_speed: 0.000 MB/s | delay: 74 ms
name: 🏁 Relay-6799 | avg_speed: 0.000 MB/s | delay: 74 ms
name: 🏁 Relay-8734 | avg_speed: 0.000 MB/s | delay: 74 ms
name: 🏁 Relay-7759 | avg_speed: 0.000 MB/s | delay: 74 ms
name: 🏁 Relay-1590 | avg_speed: 0.000 MB/s | delay: 74 ms
name: 🇧🇬 Bulgaria-5494 | avg_speed: 2.048 MB/s | delay: 575 ms
name: 🏁 Relay-6418 | avg_speed: 0.000 MB/s | delay: 75 ms
name: 🏁 Relay-7326 | avg_speed: 0.000 MB/s | delay: 75 ms
name: 🏁 Relay-1951 | avg_speed: 0.000 MB/s | delay: 75 ms
name: 🏁 Relay-7111 | avg_speed: 0.000 MB/s | delay: 75 ms
name: 🏁 Relay-4260 | avg_speed: 0.000 MB/s | delay: 75 ms
name: 🏁 Relay-8578 | avg_speed: 0.000 MB/s | delay: 75 ms
name: 🏁 Relay-6894 | avg_speed: 0.000 MB/s | delay: 75 ms
name: 🇯🇵 Japan-7211 | avg_speed: 1.739 MB/s | delay: 501 ms
name: 🇳🇱 Netherlands-7802 | avg_speed: 1.461 MB/s | delay: 433 ms
name: 🏁 Relay-4479 | avg_speed: 0.000 MB/s | delay: 76 ms
name: 🏁 Relay-1116 | avg_speed: 0.000 MB/s | delay: 76 ms
name: 🇬🇧 UK-7442 | avg_speed: 0.000 MB/s | delay: 76 ms
name: 🏁 Relay-9548 | avg_speed: 0.000 MB/s | delay: 76 ms
name: 🏁 Relay-6062 | avg_speed: 0.000 MB/s | delay: 76 ms
name: 🏁 Relay-8491 | avg_speed: 0.000 MB/s | delay: 76 ms
name: 🏁 Relay-2090 | avg_speed: 0.000 MB/s | delay: 76 ms
name: 🇸🇬 Singapore-4706 | avg_speed: 1.516 MB/s | delay: 448 ms
name: 🏁 Relay-9186 | avg_speed: 0.000 MB/s | delay: 77 ms
name: 🏁 Relay-3371 | avg_speed: 0.000 MB/s | delay: 77 ms
name: 🏁 Relay-3520 | avg_speed: 0.000 MB/s | delay: 77 ms
name: 🏁 Relay-7269 | avg_speed: 0.000 MB/s | delay: 77 ms
name: 🏁 Relay-2879 | avg_speed: 0.000 MB/s | delay: 77 ms
name: 🏁 Relay-4740 | avg_speed: 0.000 MB/s | delay: 77 ms
name: 🏁 Relay-8011 | avg_speed: 0.000 MB/s | delay: 77 ms
name: 🏁 Relay-2340 | avg_speed: 0.000 MB/s | delay: 77 ms
name: 🏁 Relay-9741 | avg_speed: 0.000 MB/s | delay: 77 ms
name: 🏁 Relay-3999 | avg_speed: 0.000 MB/s | delay: 77 ms
name: 🏁 Relay-8992 | avg_speed: 0.000 MB/s | delay: 77 ms
name: 🏁 Relay-9431 | avg_speed: 0.000 MB/s | delay: 77 ms
name: 🏁 Relay-5633 | avg_speed: 0.000 MB/s | delay: 77 ms
name: 🏁 Relay-4287 | avg_speed: 0.000 MB/s | delay: 77 ms
name: 🏁 Relay-4869 | avg_speed: 0.000 MB/s | delay: 78 ms
name: 🏁 Relay-9145 | avg_speed: 0.000 MB/s | delay: 78 ms
name: 🏁 Relay-7662 | avg_speed: 0.000 MB/s | delay: 78 ms
name: 🏁 Relay-3990 | avg_speed: 0.000 MB/s | delay: 78 ms
name: 🏁 Relay-2085 | avg_speed: 0.000 MB/s | delay: 78 ms
name: 🏁 Relay-1697 | avg_speed: 0.000 MB/s | delay: 78 ms
name: 🏁 Relay-3975 | avg_speed: 0.000 MB/s | delay: 78 ms
name: 🏁 Relay-7803 | avg_speed: 0.000 MB/s | delay: 78 ms
name: 🏁 Relay-3620 | avg_speed: 0.000 MB/s | delay: 78 ms
name: 🏁 Relay-8265 | avg_speed: 0.000 MB/s | delay: 78 ms
name: 🏁 Relay-7898 | avg_speed: 0.000 MB/s | delay: 78 ms
name: 🏁 Relay-5349 | avg_speed: 0.000 MB/s | delay: 78 ms
name: 🏁 Relay-3387 | avg_speed: 0.000 MB/s | delay: 78 ms
name: 🏁 Relay-3261 | avg_speed: 0.000 MB/s | delay: 78 ms
name: 🏁 Relay-9286 | avg_speed: 0.000 MB/s | delay: 78 ms
name: 🏁 Relay-2280 | avg_speed: 0.000 MB/s | delay: 78 ms
name: 🇯🇵 Japan-3464 | avg_speed: 1.768 MB/s | delay: 511 ms
name: 🏁 Relay-6643 | avg_speed: 0.000 MB/s | delay: 79 ms
name: 🏁 Relay-1001 | avg_speed: 0.000 MB/s | delay: 79 ms
name: 🏁 Relay-6428 | avg_speed: 0.000 MB/s | delay: 79 ms
name: 🏁 Relay-9609 | avg_speed: 0.000 MB/s | delay: 80 ms
name: 🏁 Relay-2451 | avg_speed: 0.000 MB/s | delay: 80 ms
name: 🏁 Relay-2601 | avg_speed: 0.000 MB/s | delay: 80 ms
name: 🏁 Relay-9516 | avg_speed: 0.000 MB/s | delay: 80 ms
name: 🏁 Relay-5122 | avg_speed: 0.000 MB/s | delay: 80 ms
name: 🏁 Relay-7261 | avg_speed: 0.000 MB/s | delay: 80 ms
name: 🏁 Relay-7212 | avg_speed: 0.000 MB/s | delay: 80 ms
name: 🏁 Relay-7657 | avg_speed: 0.000 MB/s | delay: 80 ms
name: 🏁 Relay-2505 | avg_speed: 0.000 MB/s | delay: 80 ms
name: 🇸🇨 Seychelles-7142 | avg_speed: 0.000 MB/s | delay: 80 ms
name: 🏁 Relay-6232 | avg_speed: 0.000 MB/s | delay: 80 ms
name: 🏁 Relay-3696 | avg_speed: 0.000 MB/s | delay: 80 ms
name: 🏁 Relay-5432 | avg_speed: 0.000 MB/s | delay: 81 ms
name: 🏁 Relay-3103 | avg_speed: 0.000 MB/s | delay: 81 ms
name: 🏁 Relay-5493 | avg_speed: 0.000 MB/s | delay: 81 ms
name: 🏁 Relay-5784 | avg_speed: 0.000 MB/s | delay: 81 ms
name: 🏁 Relay-8150 | avg_speed: 0.000 MB/s | delay: 81 ms
name: 🏁 Relay-6176 | avg_speed: 0.000 MB/s | delay: 81 ms
name: 🏁 Relay-6279 | avg_speed: 0.000 MB/s | delay: 81 ms
name: 🏁 Relay-9549 | avg_speed: 0.000 MB/s | delay: 81 ms
name: 🏁 Relay-8640 | avg_speed: 0.000 MB/s | delay: 81 ms
name: 🏁 Relay-9756 | avg_speed: 0.000 MB/s | delay: 81 ms
name: 🏁 Relay-8993 | avg_speed: 0.000 MB/s | delay: 81 ms
name: 🏁 Relay-6893 | avg_speed: 0.000 MB/s | delay: 81 ms
name: 🏁 Relay-7634 | avg_speed: 0.000 MB/s | delay: 82 ms
name: 🏁 Relay-2368 | avg_speed: 0.000 MB/s | delay: 82 ms
name: 🏁 Relay-2814 | avg_speed: 0.000 MB/s | delay: 82 ms
name: 🏁 Relay-6824 | avg_speed: 0.000 MB/s | delay: 82 ms
name: 🏁 Relay-2225 | avg_speed: 0.000 MB/s | delay: 82 ms
name: 🏁 Relay-3087 | avg_speed: 0.000 MB/s | delay: 82 ms
name: 🏁 Relay-8379 | avg_speed: 0.000 MB/s | delay: 82 ms
name: 🏁 Relay-2631 | avg_speed: 0.000 MB/s | delay: 82 ms
name: 🏁 Relay-3099 | avg_speed: 0.000 MB/s | delay: 82 ms
name: 🏁 Relay-9929 | avg_speed: 0.000 MB/s | delay: 82 ms
name: 🇫🇮 Finland-6201 | avg_speed: 1.909 MB/s | delay: 550 ms
name: 🏁 Relay-2433 | avg_speed: 0.000 MB/s | delay: 83 ms
name: 🏁 Relay-5097 | avg_speed: 0.000 MB/s | delay: 83 ms
name: 🏁 Relay-3878 | avg_speed: 0.000 MB/s | delay: 83 ms
name: 🏁 Relay-6856 | avg_speed: 0.000 MB/s | delay: 83 ms
name: 🏁 Relay-3935 | avg_speed: 0.000 MB/s | delay: 83 ms
name: 🏁 Relay-5125 | avg_speed: 0.000 MB/s | delay: 83 ms
name: 🏁 Relay-2112 | avg_speed: 0.000 MB/s | delay: 83 ms
name: 🏁 Relay-4363 | avg_speed: 0.000 MB/s | delay: 83 ms
name: 🏁 Relay-6450 | avg_speed: 0.000 MB/s | delay: 83 ms
name: 🏁 Relay-6109 | avg_speed: 0.000 MB/s | delay: 83 ms
name: 🏁 Relay-1043 | avg_speed: 0.000 MB/s | delay: 83 ms
name: 🏁 Relay-6729 | avg_speed: 0.000 MB/s | delay: 83 ms
name: 🇺🇸 USA-6909 | avg_speed: 0.128 MB/s | delay: 114 ms
name: 🇸🇬 Singapore-4571 | avg_speed: 1.519 MB/s | delay: 455 ms
name: 🇬🇧 UK-9065 | avg_speed: 2.099 MB/s | delay: 597 ms
name: 🏁 Relay-6814 | avg_speed: 0.950 MB/s | delay: 316 ms
name: 🏁 Relay-8747 | avg_speed: 0.000 MB/s | delay: 84 ms
name: 🏁 Relay-6464 | avg_speed: 0.000 MB/s | delay: 84 ms
name: 🏁 Relay-9876 | avg_speed: 0.000 MB/s | delay: 84 ms
name: 🏁 Relay-5399 | avg_speed: 0.000 MB/s | delay: 84 ms
name: 🏁 Relay-3980 | avg_speed: 0.000 MB/s | delay: 84 ms
name: 🏁 Relay-9209 | avg_speed: 0.000 MB/s | delay: 84 ms
name: 🏁 Relay-3107 | avg_speed: 0.000 MB/s | delay: 84 ms
name: 🏁 Relay-3608 | avg_speed: 0.000 MB/s | delay: 84 ms
name: 🏁 Relay-6086 | avg_speed: 0.000 MB/s | delay: 84 ms
name: 🏁 Relay-2811 | avg_speed: 0.000 MB/s | delay: 84 ms
name: 🏁 Relay-9157 | avg_speed: 0.000 MB/s | delay: 84 ms
name: 🏁 Relay-2185 | avg_speed: 0.000 MB/s | delay: 84 ms
name: 🏁 Relay-7918 | avg_speed: 0.000 MB/s | delay: 84 ms
name: 🏁 Relay-4064 | avg_speed: 0.000 MB/s | delay: 84 ms
name: 🏁 Relay-4736 | avg_speed: 0.000 MB/s | delay: 84 ms
name: 🏁 Relay-9978 | avg_speed: 0.000 MB/s | delay: 84 ms
name: 🏁 Relay-9831 | avg_speed: 0.000 MB/s | delay: 84 ms
name: 🏁 Relay-1533 | avg_speed: 0.000 MB/s | delay: 84 ms
name: 🏁 Relay-2978 | avg_speed: 0.000 MB/s | delay: 84 ms
name: 🇨🇭 Switzerland-9657 | avg_speed: 0.000 MB/s | delay: 84 ms
name: 🏁 Relay-9486 | avg_speed: 0.000 MB/s | delay: 85 ms
name: 🏁 Relay-3769 | avg_speed: 0.000 MB/s | delay: 85 ms
name: 🏁 Relay-4435 | avg_speed: 0.000 MB/s | delay: 85 ms
name: 🏁 Relay-2079 | avg_speed: 0.000 MB/s | delay: 85 ms
name: 🏁 Relay-6095 | avg_speed: 0.000 MB/s | delay: 85 ms
name: 🏁 Relay-3185 | avg_speed: 0.000 MB/s | delay: 85 ms
name: 🏁 Relay-4252 | avg_speed: 0.000 MB/s | delay: 85 ms
name: 🏁 Relay-9865 | avg_speed: 0.000 MB/s | delay: 85 ms
name: 🏁 Relay-6463 | avg_speed: 0.000 MB/s | delay: 85 ms
name: 🏁 Relay-2384 | avg_speed: 0.000 MB/s | delay: 85 ms
name: 🏁 Relay-1756 | avg_speed: 0.000 MB/s | delay: 85 ms
name: 🏁 Relay-4541 | avg_speed: 0.000 MB/s | delay: 85 ms
name: 🏁 Relay-5317 | avg_speed: 0.000 MB/s | delay: 85 ms
name: 🏁 Relay-2827 | avg_speed: 0.000 MB/s | delay: 85 ms
name: 🏁 Relay-8664 | avg_speed: 0.000 MB/s | delay: 85 ms
name: 🏁 Relay-7249 | avg_speed: 0.000 MB/s | delay: 85 ms
name: 🇱🇹 Lithuania-6320 | avg_speed: 0.000 MB/s | delay: 85 ms
name: 🏁 Relay-2537 | avg_speed: 0.000 MB/s | delay: 85 ms
name: 🏁 Relay-4510 | avg_speed: 0.000 MB/s | delay: 85 ms
name: 🇸🇨 Seychelles-6186 | avg_speed: 0.000 MB/s | delay: 85 ms
name: 🏁 Relay-6662 | avg_speed: 0.000 MB/s | delay: 86 ms
name: 🏁 Relay-8532 | avg_speed: 0.000 MB/s | delay: 86 ms
name: 🏁 Relay-6837 | avg_speed: 0.000 MB/s | delay: 86 ms
name: 🏁 Relay-2442 | avg_speed: 0.000 MB/s | delay: 86 ms
name: 🏁 Relay-4270 | avg_speed: 0.000 MB/s | delay: 86 ms
name: 🏁 Relay-8620 | avg_speed: 0.000 MB/s | delay: 86 ms
name: 🏁 Relay-3962 | avg_speed: 0.000 MB/s | delay: 86 ms
name: 🏁 Relay-5193 | avg_speed: 0.000 MB/s | delay: 86 ms
name: 🏁 Relay-5904 | avg_speed: 0.000 MB/s | delay: 86 ms
name: 🏁 Relay-4564 | avg_speed: 0.000 MB/s | delay: 86 ms
name: 🏁 Relay-4374 | avg_speed: 0.000 MB/s | delay: 86 ms
name: 🏁 Relay-6675 | avg_speed: 0.000 MB/s | delay: 86 ms
name: 🏁 Relay-3835 | avg_speed: 0.000 MB/s | delay: 86 ms
name: 🏁 Relay-6692 | avg_speed: 0.000 MB/s | delay: 86 ms
name: 🏁 Relay-9815 | avg_speed: 0.000 MB/s | delay: 86 ms
name: 🏁 Relay-6237 | avg_speed: 0.000 MB/s | delay: 86 ms
name: 🇩🇪 Germany-5724 | avg_speed: 1.412 MB/s | delay: 432 ms
name: 🏁 Relay-4697 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🏁 Relay-4573 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🏁 Relay-5499 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🏁 Relay-7833 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🏁 Relay-2083 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🏁 Relay-2223 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🏁 Relay-8057 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🏁 Relay-1095 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🏁 Relay-5852 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🏁 Relay-8553 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🏁 Relay-3184 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🏁 Relay-2643 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🏁 Relay-2994 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🏁 Relay-8224 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🏁 Relay-1743 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🏁 Relay-3389 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🏁 Relay-9907 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🏁 Relay-3649 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🏁 Relay-3279 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🏁 Relay-7712 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🏁 Relay-3725 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🇦🇪 Emirates-1876 | avg_speed: 0.000 MB/s | delay: 87 ms
name: 🏁 Relay-2467 | avg_speed: 0.000 MB/s | delay: 88 ms
name: 🏁 Relay-7156 | avg_speed: 0.000 MB/s | delay: 88 ms
name: 🏁 Relay-2573 | avg_speed: 0.000 MB/s | delay: 88 ms
name: 🏁 Relay-6292 | avg_speed: 0.000 MB/s | delay: 88 ms
name: 🏁 Relay-8552 | avg_speed: 0.000 MB/s | delay: 88 ms
name: 🏁 Relay-7470 | avg_speed: 0.000 MB/s | delay: 88 ms
name: 🏁 Relay-4452 | avg_speed: 0.000 MB/s | delay: 88 ms
name: 🏁 Relay-3857 | avg_speed: 0.000 MB/s | delay: 88 ms
name: 🏁 Relay-5596 | avg_speed: 0.000 MB/s | delay: 88 ms
name: 🏁 Relay-1914 | avg_speed: 0.000 MB/s | delay: 88 ms
name: 🏁 Relay-8158 | avg_speed: 0.000 MB/s | delay: 88 ms
name: 🏁 Relay-9171 | avg_speed: 0.000 MB/s | delay: 88 ms
name: 🏁 Relay-8053 | avg_speed: 0.000 MB/s | delay: 88 ms
name: 🏁 Relay-7552 | avg_speed: 0.000 MB/s | delay: 88 ms
name: 🇳🇱 Netherlands-2925 | avg_speed: 0.000 MB/s | delay: 88 ms
name: 🏁 Relay-5397 | avg_speed: 0.000 MB/s | delay: 88 ms
name: 🇧🇬 Bulgaria-9018 | avg_speed: 2.226 MB/s | delay: 633 ms
name: 🇺🇸 USA-8953 | avg_speed: 1.354 MB/s | delay: 420 ms
name: 🏁 Relay-8911 | avg_speed: 0.000 MB/s | delay: 89 ms
name: 🏁 Relay-3664 | avg_speed: 0.000 MB/s | delay: 89 ms
name: 🏁 Relay-2414 | avg_speed: 0.000 MB/s | delay: 89 ms
name: 🏁 Relay-8702 | avg_speed: 0.000 MB/s | delay: 89 ms
name: 🏁 Relay-4265 | avg_speed: 0.000 MB/s | delay: 89 ms
name: 🏁 Relay-3355 | avg_speed: 0.000 MB/s | delay: 89 ms
name: 🏁 Relay-1419 | avg_speed: 0.000 MB/s | delay: 89 ms
name: 🏁 Relay-9548 | avg_speed: 0.000 MB/s | delay: 89 ms
name: 🏁 Relay-1951 | avg_speed: 0.000 MB/s | delay: 89 ms
name: 🏁 Relay-3987 | avg_speed: 0.000 MB/s | delay: 89 ms
name: 🏁 Relay-1709 | avg_speed: 0.000 MB/s | delay: 89 ms
name: 🏁 Relay-9508 | avg_speed: 0.000 MB/s | delay: 89 ms
name: 🏁 Relay-6354 | avg_speed: 0.000 MB/s | delay: 89 ms
name: 🇺🇸 USA-9769 | avg_speed: 1.196 MB/s | delay: 382 ms
name: 🏁 Relay-7000 | avg_speed: 0.000 MB/s | delay: 90 ms
name: 🏁 Relay-7182 | avg_speed: 0.000 MB/s | delay: 90 ms
name: 🏁 Relay-6164 | avg_speed: 0.000 MB/s | delay: 90 ms
name: 🇱🇹 Lithuania-2896 | avg_speed: 0.000 MB/s | delay: 90 ms
name: 🏁 Relay-7628 | avg_speed: 0.000 MB/s | delay: 90 ms
name: 🏁 Relay-2566 | avg_speed: 0.000 MB/s | delay: 90 ms
name: 🏁 Relay-8091 | avg_speed: 0.000 MB/s | delay: 90 ms
name: 🏁 Relay-6725 | avg_speed: 0.000 MB/s | delay: 90 ms
name: 🏁 Relay-4484 | avg_speed: 0.000 MB/s | delay: 90 ms
name: 🏁 Relay-6942 | avg_speed: 0.000 MB/s | delay: 90 ms
name: 🏁 Relay-5605 | avg_speed: 0.000 MB/s | delay: 90 ms
name: 🏁 Relay-3170 | avg_speed: 0.000 MB/s | delay: 90 ms
name: 🏁 Relay-2924 | avg_speed: 0.000 MB/s | delay: 90 ms
name: 🏁 Relay-9742 | avg_speed: 0.000 MB/s | delay: 90 ms
name: 🏁 Relay-1340 | avg_speed: 0.000 MB/s | delay: 90 ms
name: 🇺🇸 USA-2289 | avg_speed: 0.179 MB/s | delay: 134 ms
name: 🏁 Relay-2651 | avg_speed: 1.152 MB/s | delay: 372 ms
name: 🏁 Relay-9333 | avg_speed: 0.000 MB/s | delay: 91 ms
name: 🏁 Relay-2469 | avg_speed: 0.000 MB/s | delay: 91 ms
name: 🏁 Relay-2574 | avg_speed: 0.000 MB/s | delay: 91 ms
name: 🏁 Relay-3383 | avg_speed: 0.000 MB/s | delay: 91 ms
name: 🏁 Relay-8494 | avg_speed: 0.000 MB/s | delay: 91 ms
name: 🏁 Relay-1041 | avg_speed: 0.000 MB/s | delay: 91 ms
name: 🏁 Relay-5218 | avg_speed: 0.000 MB/s | delay: 91 ms
name: 🏁 Relay-9551 | avg_speed: 0.000 MB/s | delay: 91 ms
name: 🏁 Relay-5772 | avg_speed: 0.000 MB/s | delay: 91 ms
name: 🏁 Relay-9177 | avg_speed: 0.000 MB/s | delay: 91 ms
name: 🏁 Relay-1409 | avg_speed: 0.000 MB/s | delay: 91 ms
name: 🇺🇸 USA-4999 | avg_speed: 0.064 MB/s | delay: 107 ms
name: 🏁 Relay-2610 | avg_speed: 0.000 MB/s | delay: 92 ms
name: 🏁 Relay-9004 | avg_speed: 0.000 MB/s | delay: 92 ms
name: 🏁 Relay-3749 | avg_speed: 0.000 MB/s | delay: 92 ms
name: 🏁 Relay-6595 | avg_speed: 0.000 MB/s | delay: 92 ms
name: 🏁 Relay-8221 | avg_speed: 0.000 MB/s | delay: 92 ms
name: 🏁 Relay-7242 | avg_speed: 0.000 MB/s | delay: 92 ms
name: 🏁 Relay-2355 | avg_speed: 0.000 MB/s | delay: 92 ms
name: 🏁 Relay-2862 | avg_speed: 0.000 MB/s | delay: 92 ms
name: 🏁 Relay-1631 | avg_speed: 0.000 MB/s | delay: 92 ms
name: 🏁 Relay-1460 | avg_speed: 0.000 MB/s | delay: 92 ms
name: 🏁 Relay-6744 | avg_speed: 0.000 MB/s | delay: 92 ms
name: 🏁 Relay-9214 | avg_speed: 0.000 MB/s | delay: 92 ms
name: 🏁 Relay-3885 | avg_speed: 0.000 MB/s | delay: 93 ms
name: 🏁 Relay-2175 | avg_speed: 0.000 MB/s | delay: 93 ms
name: 🏁 Relay-9755 | avg_speed: 0.000 MB/s | delay: 93 ms
name: 🏁 Relay-3763 | avg_speed: 0.000 MB/s | delay: 93 ms
name: 🏁 Relay-5336 | avg_speed: 0.000 MB/s | delay: 93 ms
name: 🏁 Relay-8237 | avg_speed: 0.000 MB/s | delay: 93 ms
name: 🏁 Relay-5268 | avg_speed: 0.000 MB/s | delay: 93 ms
name: 🏁 Relay-9721 | avg_speed: 0.000 MB/s | delay: 93 ms
name: 🏁 Relay-3156 | avg_speed: 0.000 MB/s | delay: 93 ms
name: 🏁 Relay-5798 | avg_speed: 0.000 MB/s | delay: 93 ms
name: 🏁 Relay-4437 | avg_speed: 0.000 MB/s | delay: 93 ms
name: 🏁 Relay-9302 | avg_speed: 0.000 MB/s | delay: 93 ms
name: 🏁 Relay-7336 | avg_speed: 0.000 MB/s | delay: 93 ms
name: 🏁 Relay-1525 | avg_speed: 0.000 MB/s | delay: 93 ms
name: 🏁 Relay-5484 | avg_speed: 0.000 MB/s | delay: 93 ms
name: 🇸🇨 Seychelles-4461 | avg_speed: 0.000 MB/s | delay: 93 ms
name: 🏁 Relay-8859 | avg_speed: 0.000 MB/s | delay: 93 ms
name: 🏁 Relay-3745 | avg_speed: 0.000 MB/s | delay: 93 ms
name: 🏁 Relay-9157 | avg_speed: 0.000 MB/s | delay: 94 ms
name: 🏁 Relay-9906 | avg_speed: 0.000 MB/s | delay: 94 ms
name: 🏁 Relay-7964 | avg_speed: 0.000 MB/s | delay: 94 ms
name: 🏁 Relay-2764 | avg_speed: 0.000 MB/s | delay: 94 ms
name: 🏁 Relay-7349 | avg_speed: 0.000 MB/s | delay: 94 ms
name: 🏁 Relay-3446 | avg_speed: 0.000 MB/s | delay: 94 ms
name: 🏁 Relay-4263 | avg_speed: 0.000 MB/s | delay: 94 ms
name: 🏁 Relay-1175 | avg_speed: 0.000 MB/s | delay: 94 ms
name: 🏁 Relay-1399 | avg_speed: 0.000 MB/s | delay: 94 ms
name: 🏁 Relay-1696 | avg_speed: 0.000 MB/s | delay: 94 ms
name: 🏁 Relay-3601 | avg_speed: 0.000 MB/s | delay: 94 ms
name: 🏁 Relay-1382 | avg_speed: 0.000 MB/s | delay: 94 ms
name: 🏁 Relay-5416 | avg_speed: 0.000 MB/s | delay: 94 ms
name: 🏁 Relay-3369 | avg_speed: 0.000 MB/s | delay: 94 ms
name: 🏁 Relay-4587 | avg_speed: 0.000 MB/s | delay: 94 ms
name: 🏁 Relay-9498 | avg_speed: 0.000 MB/s | delay: 94 ms
name: 🏁 Relay-3274 | avg_speed: 0.000 MB/s | delay: 94 ms
name: 🏁 Relay-6368 | avg_speed: 0.000 MB/s | delay: 94 ms
name: 🇸🇬 Singapore-8350 | avg_speed: 1.487 MB/s | delay: 458 ms
name: 🏁 Relay-1618 | avg_speed: 0.000 MB/s | delay: 95 ms
name: 🏁 Relay-6000 | avg_speed: 0.000 MB/s | delay: 95 ms
name: 🏁 Relay-9120 | avg_speed: 0.000 MB/s | delay: 95 ms
name: 🏁 Relay-1225 | avg_speed: 0.000 MB/s | delay: 95 ms
name: 🏁 Relay-3863 | avg_speed: 0.000 MB/s | delay: 95 ms
name: 🏁 Relay-7943 | avg_speed: 0.000 MB/s | delay: 95 ms
name: 🏁 Relay-3862 | avg_speed: 0.000 MB/s | delay: 95 ms
name: 🏁 Relay-3657 | avg_speed: 0.000 MB/s | delay: 95 ms
name: 🏁 Relay-7087 | avg_speed: 0.000 MB/s | delay: 95 ms
name: 🏁 Relay-4506 | avg_speed: 0.000 MB/s | delay: 95 ms
name: 🏁 Relay-5075 | avg_speed: 0.000 MB/s | delay: 95 ms
name: 🏁 Relay-2332 | avg_speed: 0.000 MB/s | delay: 95 ms
name: 🏁 Relay-5783 | avg_speed: 0.000 MB/s | delay: 95 ms
name: 🏁 Relay-3874 | avg_speed: 0.000 MB/s | delay: 95 ms
name: 🏁 Relay-6032 | avg_speed: 0.000 MB/s | delay: 95 ms
name: 🏁 Relay-6032 | avg_speed: 0.000 MB/s | delay: 95 ms
name: 🇬🇧 UK-7294 | avg_speed: 0.000 MB/s | delay: 95 ms
name: 🏁 Relay-9142 | avg_speed: 0.000 MB/s | delay: 95 ms
name: 🏁 Relay-8312 | avg_speed: 0.000 MB/s | delay: 95 ms
name: 🏁 Relay-9457 | avg_speed: 0.000 MB/s | delay: 95 ms
